AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,AccelX_2,AccelY_2,AccelZ_2,GyroX_2,GyroY_2,GyroZ_2,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3
-2.227099895,3.640899897,8.735599518,0.0284,0.19219999,-0.020499999,3.228399992,2.558099985,8.994599342,-0.091199994,-0.055999998,-0.0133,-3.002300024,9.071100235,-1.512199998,0.080499999,-0.159699991,-0.606999993,-3.002300024,9.071100235,-1.512199998,0.080499999,-0.159699991,-0.606999993
-2.225199938,3.631299973,8.729800224,0.0284,0.234200001,0.0075,3.241499901,2.553299904,8.983799934,-0.0037,0.031500001,0.074199997,-3.008999825,9.071100235,-1.514099956,0.066500001,-0.229699999,-0.438999981,-3.008999825,9.071100235,-1.514099956,0.066500001,-0.229699999,-0.438999981
-2.217599869,3.628399849,8.727000237,0.0284,0.248199999,-0.020499999,3.24029994,2.552099943,8.984999657,-0.0037,0.048999999,0.056699999,-3.006199837,9.072299957,-1.50909996,-0.0035,-0.131699994,-0.484499991,-3.006199837,9.072299957,-1.50909996,-0.0035,-0.131699994,-0.484499991
-2.225199938,3.626499891,8.725999832,0.0004,0.332199991,-0.034499999,3.248699903,2.554499865,8.986199379,0.066299997,0.048999999,0.056699999,-3.004999876,9.062699318,-1.52579999,0.118999995,-0.131699994,-0.466999978,-3.004999876,9.062699318,-1.52579999,0.118999995,-0.131699994,-0.466999978
-2.229099989,3.636999846,8.735599518,0.16839999,0.206199989,-0.090499997,3.233199835,2.554499865,8.992199898,0.066299997,-0.021,0.056699999,-3.000399828,9.071100235,-1.514999986,0.1505,0.022299999,-0.523000002,-3.000399828,9.071100235,-1.514999986,0.1505,0.022299999,-0.523000002
-2.231899977,3.630299807,8.734600067,-0.013599999,0.360199988,-0.076499999,3.24029994,2.560499907,8.984999657,-0.073699996,-0.021,0.021699999,-3.001399994,9.063399315,-1.519799948,0.0385,0.134299994,-0.537,-3.001399994,9.063399315,-1.519799948,0.0385,0.134299994,-0.537
-2.227099895,3.636099815,8.720299721,0.0144,0.374199986,-0.048499998,3.241499901,2.562899828,8.981499672,-0.021199999,-0.090999998,0.021699999,-3.004999876,9.071100235,-1.512599945,0.083999999,0.148299992,-0.606999993,-3.004999876,9.071100235,-1.512599945,0.083999999,0.148299992,-0.606999993
-2.231899977,3.636999846,8.723099709,-0.0276,0.19219999,-0.034499999,3.236799955,2.555699825,8.991000175,-0.073699996,0.014,0.056699999,-3.001399994,9.047200203,-1.518599987,0.066500001,0.253299981,-0.58950001,-3.001399994,9.047200203,-1.518599987,0.066500001,0.253299981,-0.58950001
-2.231899977,3.636099815,8.737500191,0.056399997,0.164199993,-0.034499999,3.237999916,2.552099943,8.9897995,-0.038699999,0.048999999,0.0042,-3.019299984,9.03880024,-1.505499959,0.153999999,0.200800002,-0.484499991,-3.019299984,9.03880024,-1.505499959,0.153999999,0.200800002,-0.484499991
-2.235699892,3.635099888,8.716400146,0.0004,0.038199998,-0.090499997,3.234400034,2.561699867,8.984999657,-0.073699996,0.048999999,0.109200001,-3.015699863,9.054800034,-1.505499959,0.276499987,0.0083,-0.523000002,-3.015699863,9.054800034,-1.505499959,0.276499987,0.0083,-0.523000002
-2.226199865,3.638899803,8.728899956,-0.0276,-0.14379999,-0.188500002,3.236799955,2.547399998,8.984999657,0.118799999,-0.090999998,-0.0133,-3.00999999,9.056699753,-1.507399917,0.318499982,-0.0337,-0.537,-3.00999999,9.056699753,-1.507399917,0.318499982,-0.0337,-0.537
-2.239099979,3.640599966,8.725799561,0.220899999,-0.430799991,-0.142999992,3.235599995,2.559299946,8.981499672,-0.073699996,-0.021,-0.0133,-3.009699821,9.060299873,-1.516199946,0.276499987,0.0083,-0.606999993,-3.009699821,9.060299873,-1.516199946,0.276499987,0.0083,-0.606999993
-2.227099895,3.6322999,8.740099907,0.080899999,-0.325800002,-0.107999995,3.24029994,2.556900024,8.982699394,0.0138,-0.0385,0.0042,-3.019299984,9.056699753,-1.519799948,0.294,-0.061699998,-0.659500003,-3.019299984,9.056699753,-1.519799948,0.294,-0.061699998,-0.659500003
-2.227099895,3.629899979,8.736499786,0.0634,-0.185800001,-0.090499997,3.249899864,2.555699825,8.986199379,0.048799999,-0.160999998,-0.0133,-3.012099981,9.05079937,-1.519799948,0.276499987,0.043299999,-0.64199996,-3.012099981,9.05079937,-1.519799948,0.276499987,0.043299999,-0.64199996
-2.231899977,3.626299858,8.734099388,0.045899998,-0.255799979,-0.090499997,3.241499901,2.556900024,8.986199379,0.031300001,-0.0385,0.056699999,-3.004299879,9.058599472,-1.532199979,0.276499987,0.106299996,-0.746999979,-3.004299879,9.058599472,-1.532199979,0.276499987,0.106299996,-0.746999979
-2.227099895,3.634599924,8.732899666,0.098399997,-0.115800001,-0.107999995,3.245100021,2.553299904,8.984999657,0.031300001,-0.126000002,0.056699999,-3.021499872,9.057700157,-1.535099983,0.136500001,0.260299981,-0.746999979,-3.021499872,9.057700157,-1.535099983,0.136500001,0.260299981,-0.746999979
-2.230700016,3.6322999,8.731699944,0.115899995,-0.0458,-0.090499997,3.235599995,2.554499865,8.986199379,0.136299998,-0.0735,0.021699999,-3.030099869,9.054299355,-1.513799906,0.188999996,0.340799987,-0.816999972,-3.030099869,9.054299355,-1.513799906,0.188999996,0.340799987,-0.816999972
-2.224799871,3.642999887,8.742499352,0.115899995,0.0242,-0.090499997,3.230799913,2.549700022,8.988599777,0.136299998,-0.0735,0.056699999,-3.036000013,9.054299355,-1.517399907,0.153999999,0.288300008,-0.782000005,-3.036000013,9.054299355,-1.517399907,0.153999999,0.288300008,-0.782000005
-2.233099937,3.634599924,8.736499786,0.0284,0.0242,-0.037999999,3.24029994,2.555699825,8.994599342,-0.0037,-0.0035,0.056699999,-3.025300026,9.056699753,-1.514999986,0.206499994,0.092299998,-0.774999976,-3.025300026,9.056699753,-1.514999986,0.206499994,0.092299998,-0.774999976
-2.230700016,3.635799885,8.734099388,-0.0416,0.0942,-0.020499999,3.239199877,2.558099985,8.982699394,-0.021199999,0.048999999,0.056699999,-3.032899857,9.059599876,-1.518899918,0.402500004,-0.0057,-0.816999972,-3.032899857,9.059599876,-1.518899918,0.402500004,-0.0057,-0.816999972
-2.24029994,3.629899979,8.740099907,0.0284,0.0592,-0.090499997,3.242699862,2.560499907,8.988599777,0.0138,0.048999999,0.056699999,-3.024099827,9.061499596,-1.529399991,0.276499987,-0.044199999,-0.764499962,-3.024099827,9.061499596,-1.529399991,0.276499987,-0.044199999,-0.764499962
-2.230700016,3.625099897,8.731699944,0.0284,0.146699995,-0.055499997,3.234400034,2.558099985,8.981499672,-0.0037,0.048999999,-0.0133,-3.030099869,9.05189991,-1.537699938,0.259000003,-0.096699998,-0.816999972,-3.030099869,9.05189991,-1.537699938,0.259000003,-0.096699998,-0.816999972
-2.242699862,3.633399963,8.727000237,0.098399997,0.216699988,-0.037999999,3.237999916,2.555699825,8.992199898,-0.056199998,0.048999999,0.0392,-3.039599895,9.05079937,-1.537699938,0.276499987,0.0083,-0.746999979,-3.039599895,9.05079937,-1.537699938,0.276499987,0.0083,-0.746999979
-2.231899977,3.633399963,8.732899666,-0.0416,0.0942,-0.020499999,3.234400034,2.554499865,8.995800018,-0.0037,-0.055999998,0.074199997,-3.030999899,9.049099922,-1.544699907,0.178499997,0.0083,-0.746999979,-3.030999899,9.049099922,-1.544699907,0.178499997,0.0083,-0.746999979
-2.224799871,3.636999846,8.730500221,0.0109,0.111699998,-0.020499999,3.236799955,2.554499865,8.982699394,-0.073699996,-0.021,-0.0133,-3.05009985,9.055799484,-1.545599937,0.136500001,0.204300001,-0.676999986,-3.05009985,9.055799484,-1.545599937,0.136500001,0.204300001,-0.676999986
-2.235499859,3.629899979,8.718599319,-0.111599997,-0.098299995,-0.020499999,3.234400034,2.556900024,8.988599777,-0.073699996,-0.108499996,-0.065799996,-3.059899807,9.044799805,-1.52699995,0.066500001,0.235799998,-0.58950001,-3.059899807,9.044799805,-1.52699995,0.066500001,0.235799998,-0.58950001
